ds,y
2022-01-01,1000
2022-01-02,1025
2022-01-03,1038
2022-01-04,1049
2022-01-05,1060
2022-01-06,1069
2022-01-07,1078
2022-01-08,1087
2022-01-09,1096
2022-01-10,1105
2022-01-11,1113
2022-01-12,1121
2022-01-13,1129
2022-01-14,1137
2022-01-15,1144
2022-01-16,1152
2022-01-17,1160
2022-01-18,1167
2022-01-19,1174
2022-01-20,1182
2022-01-21,1189
2022-01-22,1196
2022-01-23,1203
2022-01-24,1210
2022-01-25,1217
2022-01-26,1225
2022-01-27,1231
2022-01-28,1238
2022-01-29,1245
2022-01-30,1252
2022-01-31,1259
2022-02-01,1266
2022-02-02,1273
2022-02-03,1279
2022-02-04,1286
2022-02-05,1293
2022-02-06,1300
2022-02-07,1306
2022-02-08,1313
2022-02-09,1319
2022-02-10,1326
2022-02-11,1333
2022-02-12,1339
2022-02-13,1346
2022-02-14,1352
2022-02-15,1359
2022-02-16,1365
2022-02-17,1372
2022-02-18,1378
2022-02-19,1385
2022-02-20,1391
2022-02-21,1397
2022-02-22,1404
2022-02-23,1410
2022-02-24,1416
2022-02-25,1423
2022-02-26,1429
2022-02-27,1435
2022-02-28,1442
2022-03-01,1448
2022-03-02,1454
2022-03-03,1461
2022-03-04,1467
2022-03-05,1473
2022-03-06,1480
2022-03-07,1486
2022-03-08,1492
2022-03-09,1498
2022-03-10,1504
2022-03-11,1511
2022-03-12,1517
2022-03-13,1523
2022-03-14,1529
2022-03-15,1535
2022-03-16,1542
2022-03-17,1548
2022-03-18,1554
2022-03-19,1560
2022-03-20,1566
2022-03-21,1572
2022-03-22,1578
2022-03-23,1585
2022-03-24,1591
2022-03-25,1597
2022-03-26,1603
2022-03-27,1609
2022-03-28,1615
2022-03-29,1621
2022-03-30,1627
2022-03-31,1633
2022-04-01,1639
2022-04-02,1645
2022-04-03,1651
2022-04-04,1657
2022-04-05,1663
2022-04-06,1669
2022-04-07,1675
2022-04-08,1681
2022-04-09,1687
2022-04-10,1693
